emoji,description
🎼,"musical score. musical score. music, score. A writing symbol used to denote a tone in music."
🎻,"violin. violin. instrument, music. A musical instrument is an instrument created or adapted to make musical sounds."
🎺,"trumpet. trumpet. instrument, music. A musical instrument is an instrument created or adapted to make musical sounds."
🎹,"musical keyboard. musical keyboard. piano, keyboard, instrument, music. A musical instrument is an instrument created or adapted to make musical sounds."
🎸,"guitar. guitar. instrument, music. A musical instrument is an instrument created or adapted to make musical sounds."
🎷,"saxophone. saxophone. instrument, music, sax. A musical instrument is an instrument created or adapted to make musical sounds."
🎶,"musical notes. musical notes. notes, note, music. A writing symbol used to denote a tone in music."
🎵,"musical note. musical note. note, music. A writing symbol used to denote a tone in music."
🇾🇹,Mayotte. Mayotte. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🎴,"flower playing cards. flower playing cards. japanese, game, flower, card, playing. Dawn is the time that marks the beginning of the twilight before sunrise."
🎳,"bowling. bowling. game, ball. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🎲,"game die. game die. game, dice, die. An activity described by a set of rules, especially for the purpose of entertainment, often competitive or having an explicit goal."
🎱,"pool 8 ball. pool 8 ball. 8 ball, game, eight, billiard, ball, 8. A game played with a cue and balls, such as billiards."
🎰,"slot machine. slot machine. game, slot. A slot machine designed for gambling."
🙋🏾‍♀️,"woman raising hand: medium-dark skin tone. woman raising hand: medium-dark skin tone. gesture, medium-dark skin tone, woman, raising hand. A woman is a female human."
🏄🏻‍♂️,"man surfing: light skin tone. man surfing: light skin tone. light skin tone, surfing, man. Sexual maturity is the age or stage when an organism can reproduce."
🎯,"direct hit. direct hit. eye, game, bull, dart, hit, bullseye, target. An activity described by a set of rules, especially for the purpose of entertainment, often competitive or having an explicit goal."
🎮,"video game. video game. controller, game. Person who plays video games"
🎭,"performing arts. performing arts. mask, performing, theatre, art, theater. Dramaturgy is the art of dramatic composition and the representation of the main elements of drama on the stage."
🎬,"clapper board. clapper board. movie, clapper. Film, movie, or motion picture, is a series of still images on a strip of plastic which, when run through a projector and shown on a screen, creates the illusion of moving images."
🎫,ticket. ticket. admission. A card or slip of paper used to gain admission to a location or event
🎪,"circus tent. circus tent. tent, circus. Festive season which occurs immediately before Lent"
🇾🇪,"Yemen. Yemen. flag. The Flag of Yemen was adopted on May 22, 1990, the day that North Yemen and South Yemen were unified."
🤾🏻‍♀️,"woman playing handball: light skin tone. woman playing handball: light skin tone. light skin tone, woman, handball. A woman is a female human."
👨🏽‍💼,"man office worker: medium skin tone. man office worker: medium skin tone. manager, business, office, architect, white-collar, medium skin tone, man. A person who designs, as profession."
🎩,"top hat. top hat. hat, top, clothing, tophat. A man of refinement"
👨🏽‍💻,"man technologist: medium skin tone. man technologist: medium skin tone. coder, developer, software, technologist, inventor, medium skin tone, man. Someone who is the first to think of or make something."
🎨,"artist palette. artist palette. palette, museum, painting, art. A color (the color of the sky at night and a blackbird's feathers) that is created by the absorption of all light and reflection of none; dark and colorless."
🎧,headphone. headphone. earbud. A lightweight and task-specific add-in program that integrates with applications to expose data at a glance.
🎦,"cinema. cinema. movie, camera, film. A digital video device that is used for recording moving images and audio in a digital format."
🎥,"movie camera. movie camera. movie, camera, cinema. A digital video device that is used for recording moving images and audio in a digital format."
🎤,"microphone. microphone. mic, karaoke. Karaoke is a form of interactive entertainment or video game in which amateur singers sing along with recorded music using a microphone and public address system."
🎣,"fishing pole. fishing pole. fish, pole. A rod, often made in sections, which carries a line used for angling and is used to support both the line and the reel and to cast the line."
🎢,"roller coaster. roller coaster. roller, coaster, amusement park. Elevated railway in an amusement park (usually with sharp curves and steep inclines)"
🎡,"ferris wheel. ferris wheel. ferris, wheel, amusement park. Festive season which occurs immediately before Lent"
🎠,"carousel horse. carousel horse. horse, carousel. An amusement ride consisting of a rotating circular platform with seats for riders."
💆🏾‍♀️,"woman getting massage: medium-dark skin tone. woman getting massage: medium-dark skin tone. medium-dark skin tone, woman, face, massage. A woman is a female human."
🙇🏼‍♀️,"woman bowing: medium-light skin tone. woman bowing: medium-light skin tone. favor, apology, medium-light skin tone, gesture, woman, sorry, bowing. A woman is a female human."
👨🏾‍🏭,"man factory worker: medium-dark skin tone. man factory worker: medium-dark skin tone. industrial, factory, assembly, medium-dark skin tone, worker, man. A member of the working class (not necessarily employed)"
🙎🏿‍♂️,"man pouting: dark skin tone. man pouting: dark skin tone. dark skin tone, pouting, gesture, man. Sexual maturity is the age or stage when an organism can reproduce."
👨🏾‍🏫,"man teacher: medium-dark skin tone. man teacher: medium-dark skin tone. instructor, professor, medium-dark skin tone, teacher, man. A person who, or a thing which, educates"
👋🏿,"waving hand: dark skin tone. waving hand: dark skin tone. dark skin tone, hand, waving, wave. An utterance of goodbye, the wishing of farewell to someone."
👷🏼‍♂️,"man construction worker: medium-light skin tone. man construction worker: medium-light skin tone. medium-light skin tone, worker, man, construction. Tradesman, labourer, or professional employed in the physical construction of the built environment"
◀,"reverse button. reverse button. reverse, arrow, triangle, left. A mark to indicate a direction or relation"
👋🏾,"waving hand: medium-dark skin tone. waving hand: medium-dark skin tone. hand, waving, wave, medium-dark skin tone. An utterance of goodbye, the wishing of farewell to someone."
👋🏽,"waving hand: medium skin tone. waving hand: medium skin tone. hand, waving, wave, medium skin tone. An utterance of goodbye, the wishing of farewell to someone."
👋🏼,"waving hand: medium-light skin tone. waving hand: medium-light skin tone. hand, medium-light skin tone, waving, wave. An utterance of goodbye, the wishing of farewell to someone."
👋🏻,"waving hand: light skin tone. waving hand: light skin tone. light skin tone, hand, waving, wave. An utterance of goodbye, the wishing of farewell to someone."
🤽‍♀️,"woman playing water polo. woman playing water polo. woman, water polo. A woman is a female human."
▶,"play button. play button. right, arrow, triangle, play. A mark to indicate a direction or relation"
🤦🏻‍♂️,"man facepalming: light skin tone. man facepalming: light skin tone. light skin tone, exasperation, disbelief, facepalm, man. Doubt, a status between belief and disbelief, involves uncertainty or distrust or lack of sureness of an alleged fact, an action, a motive, or a decision."
🏌🏾‍♂️,"man golfing: medium-dark skin tone. man golfing: medium-dark skin tone. medium-dark skin tone, golf, man"
▫,"white small square. white small square. square, geometric"
▪,"black small square. black small square. square, geometric"
🇿🇼,Zimbabwe. Zimbabwe. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
〽,"part alternation mark. part alternation mark. part, mark. In mathematics, the graph of a function f is the collection of all ordered pairs."
🤸🏾‍♂️,"man cartwheeling: medium-dark skin tone. man cartwheeling: medium-dark skin tone. gymnastics, medium-dark skin tone, cartwheel, man. A sport that involves exercises intended to display strength and balance and agility"
🇿🇲,Zambia. Zambia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
〰,"wavy dash. wavy dash. wavy, punctuation, dash. The hair growing on the lower part of a man's face"
👱🏾‍♀️,"blond-haired woman: medium-dark skin tone. blond-haired woman: medium-dark skin tone. medium-dark skin tone, woman, blonde. A woman is a female human."
🇿🇦,"South Africa. South Africa. flag. The second largest of the continents, on the Mediterranean in the north, the Atlantic in the west, and the Red Sea, Gulf of Aden, and Indian Ocean in the east."
👩🏿‍⚕️,"woman health worker: dark skin tone. woman health worker: dark skin tone. dark skin tone, doctor, nurse, healthcare, woman, therapist. A woman is a female human."
🚶🏽‍♂️,"man walking: medium skin tone. man walking: medium skin tone. walk, hike, medium skin tone, man. Sexual maturity is the age or stage when an organism can reproduce."
🙋‍♀️,"woman raising hand. woman raising hand. gesture, woman, raising hand. A woman is a female human."
👨🏾‍🎨,"man artist: medium-dark skin tone. man artist: medium-dark skin tone. artist, palette, medium-dark skin tone, man. A person whose creative work shows sensitivity and imagination"
👩🏻‍🎓,"woman student: light skin tone. woman student: light skin tone. light skin tone, graduate, student, woman. A woman is a female human."
👨🏾‍🎤,"man singer: medium-dark skin tone. man singer: medium-dark skin tone. entertainer, singer, medium-dark skin tone, actor, star, rock, man. Person who sings, is able to sing, or earns a living by singing."
👌🏿,"OK hand: dark skin tone. OK hand: dark skin tone. dark skin tone, hand, ok. A circular hand sign"
👌🏾,"OK hand: medium-dark skin tone. OK hand: medium-dark skin tone. hand, ok, medium-dark skin tone. A circular hand sign"
👌🏽,"OK hand: medium skin tone. OK hand: medium skin tone. hand, ok, medium skin tone. A circular hand sign"
👌🏼,"OK hand: medium-light skin tone. OK hand: medium-light skin tone. hand, ok, medium-light skin tone. A circular hand sign"
👌🏻,"OK hand: light skin tone. OK hand: light skin tone. light skin tone, hand, ok. A circular hand sign"
⛹🏼‍♂️,"man bouncing ball: medium-light skin tone. man bouncing ball: medium-light skin tone. medium-light skin tone, ball, man"
👮🏼‍♀️,"woman police officer: medium-light skin tone. woman police officer: medium-light skin tone. officer, medium-light skin tone, woman, police, cop. Any person in the armed services who holds a position of authority or command"
🤹🏾‍♀️,"woman juggling: medium-dark skin tone. woman juggling: medium-dark skin tone. multitask, juggling, medium-dark skin tone, woman. A woman is a female human."
👷🏿,"construction worker: dark skin tone. construction worker: dark skin tone. dark skin tone, hat, worker, construction. A member of the working class (not necessarily employed)"
👷🏾,"construction worker: medium-dark skin tone. construction worker: medium-dark skin tone. hat, medium-dark skin tone, worker, construction. A member of the working class (not necessarily employed)"
👷🏽,"construction worker: medium skin tone. construction worker: medium skin tone. hat, worker, medium skin tone, construction. A member of the working class (not necessarily employed)"
👷🏼,"construction worker: medium-light skin tone. construction worker: medium-light skin tone. hat, medium-light skin tone, worker, construction. A member of the working class (not necessarily employed)"
👷🏻,"construction worker: light skin tone. construction worker: light skin tone. light skin tone, hat, worker, construction. A member of the working class (not necessarily employed)"
🏋️‍♀️,"woman lifting weights. woman lifting weights. weight lifter, woman. A woman is a female human."
⛹️‍♂️,"man bouncing ball. man bouncing ball. ball, man. Sexual maturity is the age or stage when an organism can reproduce."
🎟,"admission tickets. admission tickets. admission, ticket. A card or slip of paper used to gain admission to a location or event"
🎞,"film frames. film frames. movie, film, cinema, frames. Film, movie, or motion picture, is a series of still images on a strip of plastic which, when run through a projector and shown on a screen, creates the illusion of moving images."
🎛,"control knobs. control knobs. knobs, music, control. A clock face."
🎚,"level slider. level slider. slider, music, level. Someone who is passionate about music."
👩🏻‍🍳,"woman cook: light skin tone. woman cook: light skin tone. cook, light skin tone, chef, woman. Person who cooks professionally for other people"
🎙,"studio microphone. studio microphone. mic, studio, microphone, music. Person who sings, is able to sing, or earns a living by singing."
💁🏻‍♀️,"woman tipping hand: light skin tone. woman tipping hand: light skin tone. light skin tone, sassy, woman, tipping hand. A woman is a female human."
🚵🏻‍♀️,"woman mountain biking: light skin tone. woman mountain biking: light skin tone. bicycle, light skin tone, cyclist, bike, mountain, woman, biking. A woman is a female human."
🎗,"reminder ribbon. reminder ribbon. reminder, celebration, ribbon. The activity of providing for or maintaining by supplying with money or necessities"
🎖,"military medal. military medal. medal, celebration, military. A French military decoration"
🎓,"graduation cap. graduation cap. hat, cap, celebration, graduation, clothing. The square academic cap, graduate cap, cap, or mortarboard or Oxford cap, is an item of academic head dress consisting of a horizontal square board fixed upon a skull-cap, with a tassel attached to the center."
🎒,"school backpack. school backpack. school, bag, satchel. A satchel used to carry supplies for school, a bookbag"
🎑,"moon viewing ceremony. moon viewing ceremony. moon, ceremony, celebration. Or, literally moon-viewing, also known as, refers to Japanese festivals honoring the autumn moon, a version of the Mid-Autumn Festival."
🎐,"wind chime. wind chime. chime, wind, bell, celebration. A type of cymbal, tending to be thick and uniformly so, and small"
🎏,"carp streamer. carp streamer. carp, streamer, celebration. Koinobori, meaning ""carp streamer"" in Japanese, are carp-shaped wind socks traditionally flown in Japan to celebrate, a traditional calendrical event which is now designated a national holiday; Children's Day."
⭕,"heavy large circle. heavy large circle. circle, o. A two-dimensional geometric figure, a disk, consisting of the set of all those points of a plane at a distance less than or equal to a fixed distance from another point."
🎎,"Japanese dolls. Japanese dolls. japanese, doll, celebration, festival. A loose robe; imitated from robes originally worn by Japanese"
🎍,"pine decoration. pine decoration. pine, japanese, celebration, bamboo. Plants, taken collectively."
🎌,"crossed flags. crossed flags. japanese, celebration, crossed, cross"
🎋,"tanabata tree. tanabata tree. tree, japanese, banner, celebration. The woody part of a tree arising from the trunk and usually dividing."
🎊,"confetti ball. confetti ball. celebration, confetti, ball. Formal performance of a solemn rite."
⭐,white medium star. white medium star. star. Massive balls of plasma
🎉,"party popper. party popper. popper, party, tada, celebration. Formal performance of a solemn rite."
🤾🏻‍♂️,"man playing handball: light skin tone. man playing handball: light skin tone. light skin tone, man, handball. A game played in a walled court or against a single wall by two or four players who strike a rubber ball with their hands"
🎈,balloon. balloon. celebration. Formal performance of a solemn rite.
🎇,"sparkler. sparkler. fireworks, celebration, sparkle. Massive balls of plasma"
🎆,fireworks. fireworks. celebration. Massive balls of plasma
🎅,"Santa Claus. Santa Claus. claus, father, santa, celebration, christmas. Christmas is an annual commemoration of the birth of Jesus Christ and a widely observed cultural holiday, celebrated generally on December 25 by billions of people around the world."
🎄,"Christmas tree. Christmas tree. tree, celebration, christmas. Christmas is an annual commemoration of the birth of Jesus Christ and a widely observed cultural holiday, celebrated generally on December 25 by billions of people around the world."
🎃,"jack-o-lantern. jack-o-lantern. jack, halloween, lantern, celebration. The color of the fruit of the pumpkin plant."
🎂,"birthday cake. birthday cake. pastry, sweet, dessert, celebration, birthday, cake. Cake is a form of bread or bread-like food."
🎁,"wrapped gift. wrapped gift. wrapped, celebration, box, gift, present. Christmas is an annual commemoration of the birth of Jesus Christ and a widely observed cultural holiday, celebrated generally on December 25 by billions of people around the world."
🎀,ribbon. ribbon. celebration. Formal performance of a solemn rite.
👩🏿‍⚖️,"woman judge: dark skin tone. woman judge: dark skin tone. judge, dark skin tone, woman, scales. A woman is a female human."
🍿,popcorn. popcorn. popcorn. Corn having small ears and kernels that burst when exposed to dry heat
🍾,"bottle with popping cork. bottle with popping cork. bottle, drink, cork, bar, popping. Bark of the cork oak."
🍽,"fork and knife with plate. fork and knife with plate. plate, cooking, knife, fork. A light meal usually eaten around midday, notably when not as main meal of the day."
🍼,"baby bottle. baby bottle. bottle, drink, baby, milk. A white nutritious liquid secreted by mammals and used as food by human beings"
💆🏾‍♂️,"man getting massage: medium-dark skin tone. man getting massage: medium-dark skin tone. medium-dark skin tone, face, massage, man. Part of the body at the front of the head"
🍻,"clinking beer mugs. clinking beer mugs. mug, drink, beer, clink, bar. A pub, formally public house, is a drinking establishment fundamental to the culture of Britain, Ireland, Australia, Canada, New England, South Africa and New Zealand."
🍺,"beer mug. beer mug. mug, drink, beer, bar. A pub, formally public house, is a drinking establishment fundamental to the culture of Britain, Ireland, Australia, Canada, New England, South Africa and New Zealand."
🙇🏼‍♂️,"man bowing: medium-light skin tone. man bowing: medium-light skin tone. favor, apology, medium-light skin tone, gesture, sorry, bowing, man. Remorse is an emotional expression of personal regret felt by a person after he or she has committed an act which they deem to be shameful, hurtful, or violent."
👩‍💼,"woman office worker. woman office worker. manager, business, office, woman, architect, white-collar. A woman is a female human."
👩‍💻,"woman technologist. woman technologist. coder, developer, software, woman, technologist, inventor. A woman is a female human."
🍹,"tropical drink. tropical drink. drink, tropical, bar. The liquid that is produced by squeezing or crushing fruits or vegetables."
🍸,"cocktail glass. cocktail glass. drink, bar, glass, cocktail. The liquid that is produced by squeezing or crushing fruits or vegetables."
🍷,"wine glass. wine glass. wine, beverage, drink, bar, glass. The liquid that is produced by squeezing or crushing fruits or vegetables."
🍶,"sake. sake. cup, beverage, bottle, drink, bar. Alcoholic beverage made from grapes."
🍵,"teacup without handle. teacup without handle. cup, beverage, teacup, tea, drink. Cup for drinking tea."
🍴,"fork and knife. fork and knife. cooking, knife, fork. Tool"
🍳,"cooking. cooking. frying, egg, pan. Frying is the cooking of food in oil or another fat, a technique that originated in ancient Egypt around 2500 BC."
🍲,"pot of food. pot of food. pot, stew. A Japanese noodle called oolong in Chinese"
🍱,"bento box. bento box. box, bento. Bento is a single-portion takeout or home-packed meal common in Japanese cuisine."
🍰,"shortcake. shortcake. pastry, sweet, dessert, slice, cake. Shortcake is a sweet cake or biscuit."
🧀,cheese wedge. cheese wedge. cheese. A solid food prepared from the pressed curd of milk
👍🏿,"thumbs up: dark skin tone. thumbs up: dark skin tone. up, dark skin tone, thumb, hand, +1. Acceptance in human psychology is a person's assent to the reality of a situation, recognizing a process or condition without attempting to change it, protest."
👍🏾,"thumbs up: medium-dark skin tone. thumbs up: medium-dark skin tone. up, thumb, hand, +1, medium-dark skin tone. Acceptance in human psychology is a person's assent to the reality of a situation, recognizing a process or condition without attempting to change it, protest."
👍🏽,"thumbs up: medium skin tone. thumbs up: medium skin tone. up, thumb, hand, +1, medium skin tone. Acceptance in human psychology is a person's assent to the reality of a situation, recognizing a process or condition without attempting to change it, protest."
👍🏼,"thumbs up: medium-light skin tone. thumbs up: medium-light skin tone. up, thumb, hand, +1, medium-light skin tone. Acceptance in human psychology is a person's assent to the reality of a situation, recognizing a process or condition without attempting to change it, protest."
👍🏻,"thumbs up: light skin tone. thumbs up: light skin tone. up, thumb, light skin tone, hand, +1. Acceptance in human psychology is a person's assent to the reality of a situation, recognizing a process or condition without attempting to change it, protest."
🍯,"honey pot. honey pot. honeypot, sweet, honey, pot. Any vessel (such as a saucepan), with or without a lid, used to cook food"
🍮,"custard. custard. sweet, dessert, pudding. Cake is a form of bread or bread-like food."
🍭,"lollipop. lollipop. sweet, dessert, candy. A sweet confection served as the last course of a meal"
🍬,"candy. candy. sweet, dessert. Dubble Bubble is a brand of pink-colored bubblegum invented by Walter Diemer, an accountant at Philadelphia based Fleer Chewing Gum Company, in 1928."
🍫,"chocolate bar. chocolate bar. sweet, dessert, bar, chocolate. A chocolate bar is a confection in bar form comprising some or all of the following components: cocoa solids, cocoa butter, sugar, and milk."
🍪,"cookie. cookie. sweet, dessert. Food made from ground roasted cocoa beans."
🤹‍♀️,"woman juggling. woman juggling. multitask, juggling, woman. A woman is a female human."
👩🏿‍💼,"woman office worker: dark skin tone. woman office worker: dark skin tone. dark skin tone, manager, business, office, woman, architect, white-collar. A woman is a female human."
🍩,"doughnut. doughnut. sweet, dessert, donut. A sweet confection served as the last course of a meal"
👩🏿‍💻,"woman technologist: dark skin tone. woman technologist: dark skin tone. dark skin tone, coder, developer, software, woman, technologist, inventor. A woman is a female human."
🍨,"ice cream. ice cream. sweet, dessert, ice, cream. Ice cream"
🍧,"shaved ice. shaved ice. sweet, shaved, dessert, ice. Ice cream"
🍦,"soft ice cream. soft ice cream. soft, sweet, dessert, ice, icecream, cream. Ice cream"
👸🏿,"princess: dark skin tone. princess: dark skin tone. dark skin tone, fairy tale, fantasy. A story about fairies; told to amuse children"
🍥,"fish cake with swirl. fish cake with swirl. pastry, fish, swirl, cake. Cake is a form of bread or bread-like food."
🤽‍♂️,"man playing water polo. man playing water polo. water polo, man. A water sport consisting of two teams of swimmers who have to throw the ball into the opponents goal."
👸🏾,"princess: medium-dark skin tone. princess: medium-dark skin tone. fairy tale, medium-dark skin tone, fantasy. A story about fairies; told to amuse children"
🍤,"fried shrimp. fried shrimp. tempura, prawn, fried, shrimp. Any of various edible decapod crustaceans"
👸🏽,"princess: medium skin tone. princess: medium skin tone. fairy tale, fantasy, medium skin tone. A story about fairies; told to amuse children"
👩🏻‍🌾,"woman farmer: light skin tone. woman farmer: light skin tone. farmer, light skin tone, gardener, woman, rancher. Person who grows then harvests food"
🍣,"sushi. sushi. sushi. A type of Japanese food, consisting of vinegared rice, seafood and pickled vegetables. Its origin lies in the south-east asian technique of pickling fish in rice to preserve it."
👸🏼,"princess: medium-light skin tone. princess: medium-light skin tone. fairy tale, medium-light skin tone, fantasy. A story about fairies; told to amuse children"
🍢,"oden. oden. stick, skewer, seafood, kebab. Variety of skewered meals originating in the Middle East"
👸🏻,"princess: light skin tone. princess: light skin tone. light skin tone, fairy tale, fantasy. A story about fairies; told to amuse children"
🍡,"dango. dango. stick, japanese, skewer, sweet, dessert. A sweet confection served as the last course of a meal"
🍠,"roasted sweet potato. roasted sweet potato. sweet, potato, roasted. Sweet potato"
🍟,"french fries. french fries. french, fries. A snack is a portion of food often smaller than a regular meal, generally eaten between meals."
🍞,"bread. bread. loaf. Breakfast is the first meal taken after rising from a night's sleep, most often eaten in the early morning before undertaking the day's work."
🍝,spaghetti. spaghetti. pasta. The head.
🍜,"steaming bowl. steaming bowl. steaming, ramen, noodle, bowl. Soup noodles of wheat, with various ingredients (Japanese style)."
🍛,"curry rice. curry rice. curry, rice. In optics, tilt is a deviation in the direction a beam of light propagates."
🍚,"cooked rice. cooked rice. rice, cooked. Korean rice food"
🍙,"rice ball. rice ball. japanese, rice, ball. A type of Japanese food, consisting of vinegared rice, seafood and pickled vegetables. Its origin lies in the south-east asian technique of pickling fish in rice to preserve it."
🍘,"rice cracker. rice cracker. cracker, rice. A rice cracker is a cracker made from rice."
🍗,"poultry leg. poultry leg. poultry, leg, bone, chicken. The edible flesh of animals, especially that of mammals."
🕴🏿,"man in business suit levitating: dark skin tone. man in business suit levitating: dark skin tone. dark skin tone, business, suit, man. Raising of something without apparent physical cause."
🍖,"meat on bone. meat on bone. meat, bone. The edible flesh of animals, especially that of mammals."
🕴🏾,"man in business suit levitating: medium-dark skin tone. man in business suit levitating: medium-dark skin tone. business, medium-dark skin tone, suit, man. Raising of something without apparent physical cause."
🍕,"pizza. pizza. cheese, slice. Pizza is an oven-baked flat bread typically topped with tomato sauce and cheese."
🕴🏽,"man in business suit levitating: medium skin tone. man in business suit levitating: medium skin tone. business, suit, medium skin tone, man. Raising of something without apparent physical cause."
⬜,"white large square. white large square. square, geometric"
🍔,"hamburger. hamburger. burger. The edible flesh of animals, especially that of mammals."
🕴🏼,"man in business suit levitating: medium-light skin tone. man in business suit levitating: medium-light skin tone. medium-light skin tone, business, suit, man. Raising of something without apparent physical cause."
⬛,"black large square. black large square. square, geometric. A town square is an open public space commonly found in the heart of a traditional town used for community gatherings."
🍓,"strawberry. strawberry. berry, fruit. The ripened reproductive body of a seed plant"
🕴🏻,"man in business suit levitating: light skin tone. man in business suit levitating: light skin tone. light skin tone, business, suit, man. Raising of something without apparent physical cause."
🍒,"cherries. cherries. fruit, cherry. Any of numerous trees and shrubs producing a small fleshy round fruit with a single hard stone; many also produce a valuable hardwood"
🍑,peach. peach. fruit. Entertainment form that mimics contact sports
🍐,"pear. pear. fruit. Species of plant, the Pear"
💇🏾‍♀️,"woman getting haircut: medium-dark skin tone. woman getting haircut: medium-dark skin tone. medium-dark skin tone, woman, haircut. A woman is a female human."
🍏,"green apple. green apple. apple, fruit, green. The state or quality of being green; green colour."
🍎,"red apple. red apple. apple, fruit, red. One of the three primary additive colors"
🍍,pineapple. pineapple. fruit. A tropical American plant bearing a large fleshy edible fruit with a terminal tuft of stiff leaves; widely cultivated in the tropics
🍌,"banana. banana. fruit. Fruit (use Q10757112 for the species, Q8666090 for the genus)"
🍋,"lemon. lemon. citrus, fruit. Citrus is a common term and genus of flowering plants in the rue family, Rutaceae."
🍊,"tangerine. tangerine. orange, fruit. Round yellow to orange fruit of any of several citrus trees"
🍉,watermelon. watermelon. fruit. Any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
🍈,melon. melon. fruit. Any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
🍇,"grapes. grapes. fruit, grape. The plant, a vine of genus Vitis, on which grapes grow"
🍆,"eggplant. eggplant. vegetable, aubergine. The male genitals."
🍅,"tomato. tomato. vegetable, fruit. Species of plant"
🍄,"mushroom. mushroom. toadstool. In culinary terms, a vegetable is an edible plant or its part, intended for cooking or eating raw."
🍃,"leaf fluttering in wind. leaf fluttering in wind. leaf, wind, blow, flutter. Wind, while simply ""the flow of air or other gases that compose an atmosphere,"" has since ancient times been a significant and pervasive metaphor and symbol in human discourse."
🍂,"fallen leaf. fallen leaf. leaf, falling. Plants, taken collectively."
🍁,"maple leaf. maple leaf. leaf, falling, maple. The Canadian Gold Maple Leaf is the official bullion gold coin of Canada, and is produced by the Royal Canadian Mint."
🍀,"four leaf clover. four leaf clover. leaf, 4, four, clover. Language spoken in Ireland"
👨🏿‍✈️,"man pilot: dark skin tone. man pilot: dark skin tone. dark skin tone, plane, pilot, man. Person actively involved in flying an aircraft"
⬇,"down arrow. down arrow. south, arrow, direction, down, cardinal. A mark to indicate a direction or relation"
⬆,"up arrow. up arrow. arrow, direction, north, cardinal. North is a noun, adjective, or adverb indicating direction or geography."
🌿,"herb. herb. leaf. A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous."
⬅,"left arrow. left arrow. west, arrow, direction, cardinal. A mark to indicate a direction or relation"
🌾,"sheaf of rice. sheaf of rice. rice, ear, grain. Annual or perennial rhizomatous marsh grasses; seed used for food; straw used for paper"
🌽,"ear of corn. ear of corn. corn, ear, maize, maze. Fruit (use Q10757112 for the species, Q8666090 for the genus)"
🌼,"blossom. blossom. flower. The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle."
🌻,"sunflower. sunflower. flower, sun. The star that is the source of light and heat for the planets in the solar system"
🌺,"hibiscus. hibiscus. flower. The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle."
👱🏾‍♂️,"blond-haired man: medium-dark skin tone. blond-haired man: medium-dark skin tone. medium-dark skin tone, blond, man. A light and yellowish, brownish or golden hair color."
👨🏾‍🎓,"man student: medium-dark skin tone. man student: medium-dark skin tone. graduate, student, medium-dark skin tone, man. A student under the supervision of a teacher or professor."
🌹,rose. rose. flower. Calendar day
🌸,"cherry blossom. cherry blossom. blossom, flower, cherry. Traditionally the first of the four seasons of the year in temperate regions, in which plants spring from the ground and trees come into blossom, following winter and preceding summer."
🌷,tulip. tulip. flower. One of the temperate seasons
🌶,"hot pepper. hot pepper. pepper, hot. A variety of chili pepper having a conical shape and a bitter and burning taste, Capsicum frutescens variety tabasco."
🌵,"cactus. cactus. plant. Plants, taken collectively."
🌴,"palm tree. palm tree. tree, palm. One of the temperate seasons"
🌳,"deciduous tree. deciduous tree. tree, shedding, deciduous. A plant, , of the cabbage family, Brassicaceae; especially, the tree-shaped flower and stalk that are eaten as a vegetable."
🌲,evergreen tree. evergreen tree. tree. A tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
🌱,seedling. seedling. young. A seedling is a young plant sporophyte developing out of a plant embryo from a seed.
🌰,chestnut. chestnut. plant. Fruit of the oak tree.
🌯,"burrito. burrito. mexican, wrap. A native or inhabitant of Mexico"
🌮,taco. taco. mexican. A native or inhabitant of Mexico
🌭,"hot dog. hot dog. hotdog, frankfurter, sausage. A small sausage popular in the United States"
🌬,"wind face. wind face. wind, cloud, blow, face. A violent gust of wind."
🙋‍♂️,"man raising hand. man raising hand. gesture, raising hand, man. Sexual maturity is the age or stage when an organism can reproduce."
🌫,fog. fog. cloud. Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour.
🏋🏼‍♂️,"man lifting weights: medium-light skin tone. man lifting weights: medium-light skin tone. weight lifter, medium-light skin tone, man"
🌪,"tornado. tornado. whirlwind, cloud. Storm"
🚵‍♀️,"woman mountain biking. woman mountain biking. bicycle, cyclist, bike, mountain, woman, biking. A woman is a female human."
👎🏿,"thumbs down: dark skin tone. thumbs down: dark skin tone. dark skin tone, thumb, hand, -1, down. An experience that is irritating or frustrating or disappointing"
🌩,"cloud with lightning. cloud with lightning. cloud, lightning. Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour."
👎🏾,"thumbs down: medium-dark skin tone. thumbs down: medium-dark skin tone. thumb, hand, medium-dark skin tone, -1, down. An experience that is irritating or frustrating or disappointing"
